"Name","FullName","Length","LastWriteTime"
"d1s1-有聲.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d1s1-有聲.mp4","2646630","2026/8/9 上午 11:22:15"
"d1s1-有聲v2.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d1s1-有聲v2.mp4","2716478","2026/8/9 下午 06:24:52"
"d1s1-有聲v3.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d1s1-有聲v3.mp4","2703109","2026/8/9 下午 06:57:14"
"d1s1-畫面.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d1s1-畫面.jpg","56980","2026/8/9 上午 02:06:51"
"d1s1-說明.txt","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d1s1-說明.txt","642","2026/8/9 上午 02:06:51"
"d1s1.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d1s1.mp4","2646630","2026/8/9 上午 11:23:58"
"d2s1-巧克力-有聲.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d2s1-巧克力-有聲.mp4","4214364","2026/8/10 上午 09:21:41"
"d3s1-15秒-淹水.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d3s1-15秒-淹水.mp4","21154808","2026/8/10 下午 02:33:34"
"d4s1-v2-畫面.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-v2-畫面.jpg","67995","2026/8/11 下午 05:42:34"
"d4s1-最終版-畫面.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-最終版-畫面.jpg","71512","2026/8/11 下午 08:54:03"
"d4s1-甩身-有聲.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-甩身-有聲.mp4","8520655","2026/8/13 上午 04:51:21"
"d4s1-畫面.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-畫面.jpg","72900","2026/8/11 下午 05:03:18"
"d4s1-精剪7秒-畫面.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-精剪7秒-畫面.jpg","71988","2026/8/11 下午 10:24:00"
"d4s1-麵粉-v2-無幻覺.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-麵粉-v2-無幻覺.mp4","13465774","2026/8/11 下午 05:42:33"
"d4s1-麵粉-最終版.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-麵粉-最終版.mp4","14767664","2026/8/11 下午 08:54:02"
"d4s1-麵粉-有聲.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-麵粉-有聲.mp4","12868843","2026/8/11 下午 05:02:47"
"d4s1-麵粉-甩身v5.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-麵粉-甩身v5.mp4","7274297","2026/8/13 上午 01:25:54"
"d4s1-麵粉-精剪7秒.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d4s1-麵粉-精剪7秒.mp4","11469666","2026/8/11 下午 10:23:21"
"d5s1-岩漿-有聲.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d5s1-岩漿-有聲.mp4","14605354","2026/8/11 下午 10:44:14"
"d5s1-岩漿-畫面.jpg","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\d5s1-岩漿-畫面.jpg","86753","2026/8/11 下午 10:44:14"
"審片-合規風險.md","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\審片-合規風險.md","19862","2026/8/11 下午 05:23:39"
"審片-對標比較.md","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\審片-對標比較.md","11082","2026/8/11 下午 05:21:17"
"審片-畫面品質.md","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\審片-畫面品質.md","8003","2026/8/11 下午 05:21:52"
"測試-TopMediai-紅酒3秒.mp4","C:\Users\TUF Gaming\Desktop\我的專案\財富密碼\待審核\測試-TopMediai-紅酒3秒.mp4","740745","2026/8/11 上午 09:58:00"
